Date,Close/Last,Volume,Open,High,Low
2018-11-14,105,39451290,$108.10 ,$108.26 ,$104.47 
2018-11-15,107,38430970,$104.99 ,$107.80 ,$103.91 
2018-11-16,108,33494830,$107.08 ,$108.88 ,$106.80 
2018-11-19,105,43324610,$108.27 ,$108.56 ,$103.55 
2018-11-20,102,63988520,$101.80 ,$102.97 ,$99.35 
2018-11-21,103,28121990,$103.60 ,$104.43 ,$102.24 
2018-11-23,103,13823100,$102.17 ,$103.81 ,$102 
2018-11-26,106,32258530,$104.79 ,$106.63 ,$104.58 
2018-11-27,107,29063180,$106.27 ,$107.33 ,$105.36 
2018-11-28,111,46132310,$107.89 ,$111.33 ,$107.86 
2018-11-29,110,27792540,$110.33 ,$111.12 ,$109.03 
2018-11-30,111,33652230,$110.70 ,$110.97 ,$109.36 
2018-12-03,112,34293960,$113 ,$113.42 ,$110.73 
2018-12-04,109,44572140,$111.94 ,$112.64 ,$108.21 
2018-12-06,109,47866160,$105.82 ,$109.24 ,$105 
2018-12-07,105,44391210,$108.38 ,$109.45 ,$104.30 
2018-12-10,108,40463870,$104.80 ,$107.98 ,$103.89 
2018-12-11,109,42342240,$109.80 ,$110.95 ,$107.44 
2018-12-12,109,36169700,$110.89 ,$111.27 ,$109.04 
2018-12-13,109,30600890,$109.58 ,$110.87 ,$108.63 
2018-12-14,106,46961130,$108.25 ,$109.26 ,$105.50 
2018-12-17,103,56837160,$105.41 ,$105.80 ,$101.71 
2018-12-18,104,48033550,$103.75 ,$104.51 ,$102.52 
2018-12-19,104,68110780,$103.65 ,$106.88 ,$101.35 
2018-12-20,102,70221500,$103.05 ,$104.31 ,$98.78 
2018-12-21,98,110945000,$101.63 ,$103 ,$97.46 
2018-12-24,94,43935190,$97.68 ,$97.97 ,$93.98 
2018-12-26,101,51330280,$95.14 ,$100.69 ,$93.96 
2018-12-27,101,49162950,$99.30 ,$101.19 ,$96.40 
2018-12-28,100,38160810,$102.09 ,$102.41 ,$99.52 
2018-12-31,102,33161320,$101.29 ,$102.40 ,$100.44 
2019-01-02,101,35145360,$99.55 ,$101.75 ,$98.94 
2019-01-03,97,42111650,$100.10 ,$100.19 ,$97.20 
2019-01-04,102,43982700,$99.72 ,$102.51 ,$98.93 
2019-01-07,102,35567820,$101.64 ,$103.27 ,$100.98 
2019-01-08,103,31322920,$103.04 ,$103.97 ,$101.71 
2019-01-09,104,32261890,$103.86 ,$104.88 ,$103.24 
2019-01-10,104,29978930,$103.22 ,$103.75 ,$102.38 
2019-01-11,103,28235260,$103.19 ,$103.44 ,$101.64 
